
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:33:ED:ED:73:9F, 2025-01-17 14:03:30, 2025-01-17 14:03:52,  6, 648, WPA2, CCMP, PSK, -68,       10,        0,   0.  0.  0.  0,   4, Mlop, 
48:BD:CE:3C:97:01, 2025-01-17 14:03:30, 2025-01-17 14:03:53,  1, 130, WPA2, CCMP, PSK, -41,       26,        4,   0.  0.  0.  0,   7, WILCHES, 
D4:B7:09:D0:ED:30, 2025-01-17 14:03:30, 2025-01-17 14:03:53,  1, 130, WPA2, CCMP TKIP, PSK, -69,       19,        1,   0.  0.  0.  0,  18, MARCELA_2.4Ghz_ETB, 
10:A7:93:7A:B3:01, 2025-01-17 14:03:30, 2025-01-17 14:03:30,  1, 130, WPA2, CCMP, PSK, -81,        1,        0,   0.  0.  0.  0,  12, Carol cortes, 
D8:9F:D4:07:EF:F1, 2025-01-17 14:03:30, 2025-01-17 14:03:51,  6, 130, WPA2, CCMP TKIP, PSK, -63,       23,        0,   0.  0.  0.  0,  14, FAMILIA_GOMEZ2, 
D8:9F:D4:07:6F:D1, 2025-01-17 14:03:30, 2025-01-17 14:03:51,  6, 130, WPA2, CCMP TKIP, PSK, -66,       16,        2,   0.  0.  0.  0,  14, FAMILIA_GOMEZ2, 
58:9B:F7:62:5B:30, 2025-01-17 14:03:30, 2025-01-17 14:03:30,  7, 540, WPA2 WPA, CCMP TKIP, PSK, -93,        1,        0,   0.  0.  0.  0,  12, Claro_05A2D0, 
F4:95:1B:93:37:98, 2025-01-17 14:03:31, 2025-01-17 14:03:53,  2, 540, WPA2 WPA, CCMP TKIP, PSK, -79,        8,        1,   0.  0.  0.  0,  15, Nick Winterfell, 
F4:95:1B:ED:D1:90, 2025-01-17 14:03:31, 2025-01-17 14:03:53,  9,  65, WPA2, CCMP TKIP, PSK, -68,       26,        0,   0.  0.  0.  0,  12, CLARO_WIFI2F, 
E8:6E:44:E0:4B:28, 2025-01-17 14:03:31, 2025-01-17 14:03:52,  8, 270, WPA2, CCMP, PSK, -72,       21,        0,   0.  0.  0.  0,   9, REDPEGUIE, 
F4:95:1B:B1:5C:20, 2025-01-17 14:03:31, 2025-01-17 14:03:49,  3, 540, WPA2 WPA, CCMP TKIP, PSK, -84,       15,        0,   0.  0.  0.  0,  12, Claro_641A42, 
2C:70:4F:53:0E:9B, 2025-01-17 14:03:31, 2025-01-17 14:03:47,  4, 130, WPA2, CCMP TKIP, PSK, -74,       11,        0,   0.  0.  0.  0,  13, SEBASTIAN_ETB, 
28:77:77:D5:85:88, 2025-01-17 14:03:31, 2025-01-17 14:03:50,  3, 130, WPA2, CCMP, PSK, -91,        6,        0,   0.  0.  0.  0,  10, DOMINGUEZ , 
F4:95:1B:DB:4D:F8, 2025-01-17 14:03:32, 2025-01-17 14:03:51, 10, 540, WPA2 WPA, CCMP TKIP, PSK, -38,       27,        0,   0.  0.  0.  0,  12, Claro_6D7931, 
74:26:FF:E5:6B:8C, 2025-01-17 14:03:32, 2025-01-17 14:03:51, 11, 130, WPA2, CCMP TKIP, PSK, -72,       24,        0,   0.  0.  0.  0,  28, FAMILIA MARTINEZ 2.4 Y 5.0 G, 
FC:12:63:BA:4D:CF, 2025-01-17 14:03:32, 2025-01-17 14:03:52, 11, 130, WPA2, CCMP, PSK, -68,       25,        0,   0.  0.  0.  0,   9, Luna_Diaz, 
74:26:FF:E5:F5:6E, 2025-01-17 14:03:33, 2025-01-17 14:03:51, 11, 130, WPA2, CCMP TKIP, PSK, -58,        8,        0,   0.  0.  0.  0,  18, JORDAN_FORERO_2.4G, 
58:2F:F7:05:B9:56, 2025-01-17 14:03:33, 2025-01-17 14:03:51, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -59,        5,        0,   0.  0.  0.  0,  16, Familia_Bautista, 
F8:64:B8:D0:51:AE, 2025-01-17 14:03:33, 2025-01-17 14:03:51, 11, 130, WPA2, CCMP TKIP, PSK, -76,       17,       11,   0.  0.  0.  0,  17, ESCRITORIO_2.4GHz, 
F8:E5:A4:51:84:11, 2025-01-17 14:03:33, 2025-01-17 14:03:51, 11, 130, WPA2, CCMP TKIP, PSK, -60,        3,        0,   0.  0.  0.  0,   7, SERBULO, 
88:AD:43:91:70:20, 2025-01-17 14:03:33, 2025-01-17 14:03:33, 11, 195, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,   6, 31225C, 
B0:FC:88:FB:05:66, 2025-01-17 14:03:33, 2025-01-17 14:03:40, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -80,        2,        0,   0.  0.  0.  0,  10, FAMHERRERA, 
20:08:89:0D:AF:34, 2025-01-17 14:03:33, 2025-01-17 14:03:48,  6, 130, WPA2, CCMP TKIP, PSK, -61,        4,        1,   0.  0.  0.  0,  15, JAPI_2.4Ghz_ETB, 
E6:79:95:52:0F:1F, 2025-01-17 14:03:33, 2025-01-17 14:03:44,  6, 180, WPA3 WPA2, CCMP, SAE PSK, -84,        6,        0,   0.  0.  0.  0,   8, OPPO A40, 
28:57:3A:F0:65:41, 2025-01-17 14:03:33, 2025-01-17 14:03:45,  6, 130, WPA2, CCMP TKIP, PSK, -66,        8,        0,   0.  0.  0.  0,   9, ABY_OLAYA, 
08:33:ED:B1:15:3F, 2025-01-17 14:03:33, 2025-01-17 14:03:33,  1, 648, WPA2, CCMP, PSK, -61,        1,        0,   0.  0.  0.  0,  10, Jorge Luis, 
28:77:77:D7:12:14, 2025-01-17 14:03:36, 2025-01-17 14:03:39,  9, 130, WPA2, CCMP, PSK, -75,        2,        0,   0.  0.  0.  0,   8, MANCILLA, 
74:26:FF:E5:D1:0E, 2025-01-17 14:03:36, 2025-01-17 14:03:51, 11, 130, WPA2, CCMP TKIP, PSK, -58,        8,        0,   0.  0.  0.  0,  13, SEBASTIAN_ETB, 
28:57:3A:DB:70:01, 2025-01-17 14:03:37, 2025-01-17 14:03:48,  6, 130, WPA2, CCMP TKIP, PSK, -60,        7,        0,   0.  0.  0.  0,  17, FamiliaTorresO-5G, 
2C:96:82:A1:6A:50, 2025-01-17 14:03:37, 2025-01-17 14:03:52,  1, 648, WPA2, CCMP, PSK, -81,        2,        1,   0.  0.  0.  0,   5, SAMMY, 
94:BF:95:6D:63:4C, 2025-01-17 14:03:38, 2025-01-17 14:03:38,  8, 130, WPA2 WPA, CCMP, PSK, -69,        0,        0,   0.  0.  0.  0,   7, MADEIRO, 
94:3C:96:48:27:E6, 2025-01-17 14:03:40, 2025-01-17 14:03:40, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -81,        1,        0,   0.  0.  0.  0,   5, Mari , 
E6:AC:0F:D3:7F:CC, 2025-01-17 14:03:40, 2025-01-17 14:03:40, 11, 180, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   7, Redmi 9, 
50:A5:DC:D2:3B:F5, 2025-01-17 14:03:40, 2025-01-17 14:03:51, 11, 195, WPA2, CCMP, PSK, -62,        3,        0,   0.  0.  0.  0,  13, VILLALBA_PAYA, 
74:93:DA:D4:E8:7F, 2025-01-17 14:03:40, 2025-01-17 14:03:40,  6, 648, WPA2, CCMP, PSK, -88,        2,        0,   0.  0.  0.  0,   9, LORENZO12, 
38:7A:CC:3A:EB:06, 2025-01-17 14:03:41, 2025-01-17 14:03:41,  1,  65, WPA2, CCMP, PSK, -69,        1,        0,   0.  0.  0.  0,  17, carplay_wifi_1BBA, 
60:E3:27:3E:98:8E, 2025-01-17 14:03:41, 2025-01-17 14:03:41,  1, 135, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,  12, TP-LINK_988E, 
66:86:BC:54:FF:06, 2025-01-17 14:03:41, 2025-01-17 14:03:41,  1, 180, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,  12, Redmi Note 8, 
7A:B0:25:68:32:F8, 2025-01-17 14:03:43, 2025-01-17 14:03:48,  6, 180, WPA2, CCMP, PSK, -63,        5,        0,   0.  0.  0.  0,  15, Galaxy A22 6FB9, 
8C:5F:AD:52:0A:5B, 2025-01-17 14:03:43, 2025-01-17 14:03:43,  5, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,  13, CLARO_WIFIA50, 
20:08:89:06:E3:A6, 2025-01-17 14:03:44, 2025-01-17 14:03:44, 11, 130, WPA2, CCMP TKIP, PSK, -79,        1,        0,   0.  0.  0.  0,  12, Berloinc-2.4, 
94:28:6F:CE:C0:B4, 2025-01-17 14:03:44, 2025-01-17 14:03:44,  6, 130, WPA2, CCMP TKIP, PSK, -81,        1,        0,   0.  0.  0.  0,  18, ALEJANDRA  AGUDELO, 
74:93:DA:D4:53:3F, 2025-01-17 14:03:52, 2025-01-17 14:03:52,  1, 648, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,  21, Carlos Orlando moreno, 
9E:53:22:02:A2:DE, 2025-01-17 14:03:53, 2025-01-17 14:03:53,  8,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
28:77:77:D8:D3:E8, 2025-01-17 14:03:53, 2025-01-17 14:03:53,  8, 270, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   8, MANCILLA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
