
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:26:FF:E5:6B:8C, 2025-01-17 14:18:20, 2025-01-17 14:18:27, 11, 130, WPA2, CCMP TKIP, PSK, -58,        7,        0,   0.  0.  0.  0,  28, FAMILIA MARTINEZ 2.4 Y 5.0 G, 
FC:12:63:BA:4D:CF, 2025-01-17 14:18:20, 2025-01-17 14:18:28, 11, 130, WPA2, CCMP, PSK, -60,        9,        0,   0.  0.  0.  0,   9, Luna_Diaz, 
D4:B7:09:D0:ED:30, 2025-01-17 14:18:20, 2025-01-17 14:18:28,  1, 130, WPA2, CCMP TKIP, PSK, -69,        6,        0,   0.  0.  0.  0,  18, MARCELA_2.4Ghz_ETB, 
48:BD:CE:3C:97:01, 2025-01-17 14:18:20, 2025-01-17 14:18:28,  1, 130, WPA2, CCMP, PSK, -26,       10,        0,   0.  0.  0.  0,   7, WILCHES, 
2C:96:82:A1:6A:50, 2025-01-17 14:18:20, 2025-01-17 14:18:28,  1, 648, WPA2, CCMP, PSK, -79,        2,        8,   0.  0.  0.  0,   5, SAMMY, 
D8:9F:D4:07:EF:F1, 2025-01-17 14:18:21, 2025-01-17 14:18:27,  6, 130, WPA2, CCMP TKIP, PSK, -45,        7,        0,   0.  0.  0.  0,  14, FAMILIA_GOMEZ2, 
F4:95:1B:93:37:98, 2025-01-17 14:18:21, 2025-01-17 14:18:21,  2, 540, WPA2 WPA, CCMP TKIP, PSK, -74,        1,        0,   0.  0.  0.  0,  15, Nick Winterfell, 
9E:53:22:C2:A6:F2, 2025-01-17 14:18:21, 2025-01-17 14:18:21,  8, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,   0, , 
9E:53:22:D2:A6:F2, 2025-01-17 14:18:21, 2025-01-17 14:18:21,  8, 130, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   0, , 
E8:6E:44:E0:4B:28, 2025-01-17 14:18:21, 2025-01-17 14:18:29,  8, 270, WPA2, CCMP, PSK, -65,        8,        0,   0.  0.  0.  0,   9, REDPEGUIE, 
9E:53:22:D2:A2:DE, 2025-01-17 14:18:21, 2025-01-17 14:18:22,  8, 130, WPA2, CCMP, PSK, -81,        2,        0,   0.  0.  0.  0,   0, , 
F4:95:1B:B1:5C:20, 2025-01-17 14:18:22, 2025-01-17 14:18:26,  3, 540, WPA2 WPA, CCMP TKIP, PSK, -63,        7,        0,   0.  0.  0.  0,  12, Claro_641A42, 
28:77:77:D5:85:88, 2025-01-17 14:18:22, 2025-01-17 14:18:25,  3, 130, WPA2, CCMP, PSK, -70,        6,        0,   0.  0.  0.  0,  10, DOMINGUEZ , 
28:77:77:D7:12:14, 2025-01-17 14:18:22, 2025-01-17 14:18:26,  9, 130, WPA2, CCMP, PSK, -58,        4,        0,   0.  0.  0.  0,   8, MANCILLA, 
F4:95:1B:ED:D1:90, 2025-01-17 14:18:22, 2025-01-17 14:18:26,  9,  65, WPA2, CCMP TKIP, PSK, -53,        5,        0,   0.  0.  0.  0,  12, CLARO_WIFI2F, 
